Model: 1, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 21.646984924623116, val_mae: 17.57857142857143
Model: 5, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 5, train_mae: 17.621859296482413, val_mae: 35.31428571428572
Model: 6, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 7, train_mae: 20.14824120603015, val_mae: 18.428571428571427
Model: 6, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 7, train_mae: 21.025125628140703, val_mae: 9.335714285714285
Model: 6, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 7, train_mae: 19.64321608040201, val_mae: 14.0
Model: 6, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 7, train_mae: 17.991206030150753, val_mae: 32.58571428571429
Model: 6, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 7, train_mae: 20.40326633165829, val_mae: 28.457142857142856
Model: 6, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 7, train_mae: 17.738693467336685, val_mae: 35.15
Model: 7, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 4, train_mae: 18.732412060301506, val_mae: 18.27857142857143
Model: 7, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 4, train_mae: 19.613065326633166, val_mae: 10.32857142857143
Model: 7, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 4, train_mae: 19.47613065326633, val_mae: 13.435714285714285
Model: 7, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 4, train_mae: 16.866834170854272, val_mae: 32.964285714285715
Model: 7, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 4, train_mae: 18.628140703517587, val_mae: 29.95
Model: 7, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 4, train_mae: 16.63819095477387, val_mae: 35.114285714285714
Model: 8, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 5, train_mae: 17.997487437185928, val_mae: 18.357142857142858
Model: 8, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 5, train_mae: 20.15829145728643, val_mae: 10.928571428571429
Model: 8, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 5, train_mae: 19.69723618090452, val_mae: 13.685714285714285
Model: 8, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 5, train_mae: 17.12562814070352, val_mae: 32.792857142857144
Model: 8, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 5, train_mae: 18.547738693467338, val_mae: 30.25
Model: 8, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 5, train_mae: 16.89321608040201, val_mae: 34.41428571428571
Model: 9, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 7, train_mae: 19.026381909547737, val_mae: 18.7
Model: 9, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 7, train_mae: 19.992462311557787, val_mae: 10.55
Model: 9, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 7, train_mae: 19.35175879396985, val_mae: 14.414285714285715
Model: 9, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 7, train_mae: 17.626884422110553, val_mae: 32.73571428571429
Model: 9, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 7, train_mae: 19.837939698492463, val_mae: 28.885714285714286
Model: 9, iterations: 500, learning_rate: 0.01, depth: 9, l2_leaf_reg: 7, train_mae: 17.25502512562814, val_mae: 34.614285714285714
Model: 10, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 4, train_mae: 19.376884422110553, val_mae: 18.09285714285714
Model: 10, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 4, train_mae: 19.25, val_mae: 7.75
Model: 10, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 4, train_mae: 17.2035175879397, val_mae: 12.235714285714286
Model: 10, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 4, train_mae: 17.32286432160804, val_mae: 32.43571428571428
Model: 10, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 4, train_mae: 17.775125628140703, val_mae: 58.00714285714286
Model: 10, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 4, train_mae: 14.228643216080402, val_mae: 46.31428571428572
Model: 11, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 5, train_mae: 18.896984924623116, val_mae: 19.514285714285716
Model: 11, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 5, train_mae: 20.15954773869347, val_mae: 8.928571428571429
Model: 11, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 5, train_mae: 19.665829145728644, val_mae: 12.75
Model: 11, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 5, train_mae: 17.6143216080402, val_mae: 33.357142857142854
Model: 11, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 5, train_mae: 17.0678391959799, val_mae: 54.43571428571428
Model: 11, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 5, train_mae: 16.134422110552762, val_mae: 36.635714285714286
Model: 12, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 7, train_mae: 18.6356783919598, val_mae: 18.678571428571427
Model: 12, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 7, train_mae: 19.342964824120603, val_mae: 7.7
Model: 12, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 7, train_mae: 19.190954773869347, val_mae: 14.085714285714285
Model: 12, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 7, train_mae: 17.99497487437186, val_mae: 32.77857142857143
Model: 12, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 7, train_mae: 18.69723618090452, val_mae: 62.864285714285714
Model: 12, iterations: 500, learning_rate: 0.05, depth: 4, l2_leaf_reg: 7, train_mae: 16.092964824120603, val_mae: 54.08571428571429
Model: 13, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 4, train_mae: 16.358040201005025, val_mae: 19.75
Model: 13, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 4, train_mae: 15.68467336683417, val_mae: 8.085714285714285
Model: 13, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 4, train_mae: 17.087939698492463, val_mae: 10.885714285714286
Model: 13, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 4, train_mae: 16.265075376884422, val_mae: 34.82142857142857
Model: 13, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 4, train_mae: 14.771356783919598, val_mae: 45.55714285714286
Model: 13, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 4, train_mae: 9.673366834170855, val_mae: 57.41428571428571
Model: 14, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 5, train_mae: 16.981155778894472, val_mae: 19.35
Model: 14, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 5, train_mae: 18.365577889447238, val_mae: 7.771428571428571
Model: 14, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 5, train_mae: 17.45603015075377, val_mae: 10.664285714285715
Model: 14, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 5, train_mae: 16.14321608040201, val_mae: 31.892857142857142
Model: 14, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 5, train_mae: 15.03643216080402, val_mae: 40.05
Model: 14, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 5, train_mae: 11.126884422110553, val_mae: 51.90714285714286
Model: 15, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 7, train_mae: 17.36934673366834, val_mae: 18.821428571428573
Model: 15, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 7, train_mae: 16.772613065326635, val_mae: 7.9714285714285715
Model: 15, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 7, train_mae: 16.481155778894472, val_mae: 12.0
Model: 15, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 7, train_mae: 16.78391959798995, val_mae: 34.05
Model: 15, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 7, train_mae: 15.928391959798995, val_mae: 38.457142857142856
Model: 15, iterations: 500, learning_rate: 0.05, depth: 7, l2_leaf_reg: 7, train_mae: 13.449748743718592, val_mae: 50.035714285714285
Model: 16, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 4, train_mae: 13.146984924623116, val_mae: 18.92142857142857
Model: 16, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 4, train_mae: 14.826633165829145, val_mae: 8.507142857142858
Model: 16, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 4, train_mae: 15.282663316582914, val_mae: 12.592857142857143
Model: 16, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 4, train_mae: 15.727386934673367, val_mae: 34.44285714285714
Model: 16, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 4, train_mae: 14.228643216080402, val_mae: 35.892857142857146
Model: 16, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 4, train_mae: 8.821608040201005, val_mae: 59.45
Model: 17, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 5, train_mae: 16.787688442211056, val_mae: 18.228571428571428
Model: 17, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 5, train_mae: 16.27386934673367, val_mae: 8.42142857142857
Model: 17, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 5, train_mae: 15.53894472361809, val_mae: 11.564285714285715
Model: 17, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 5, train_mae: 16.180904522613066, val_mae: 35.06428571428572
Model: 17, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 5, train_mae: 14.552763819095478, val_mae: 36.05714285714286
Model: 17, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 5, train_mae: 9.649497487437186, val_mae: 44.1
Model: 18, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 7, train_mae: 16.236180904522612, val_mae: 17.728571428571428
Model: 18, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 7, train_mae: 16.37939698492462, val_mae: 8.292857142857143
Model: 18, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 7, train_mae: 16.16959798994975, val_mae: 11.835714285714285
Model: 18, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 7, train_mae: 16.060301507537687, val_mae: 34.3
Model: 18, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 7, train_mae: 14.97110552763819, val_mae: 38.22857142857143
Model: 18, iterations: 500, learning_rate: 0.05, depth: 9, l2_leaf_reg: 7, train_mae: 9.349246231155778, val_mae: 63.82857142857143
Model: 19, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 4, train_mae: 17.14572864321608, val_mae: 19.635714285714286
Model: 19, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 4, train_mae: 14.35175879396985, val_mae: 9.721428571428572
Model: 19, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 4, train_mae: 15.361809045226131, val_mae: 13.571428571428571
Model: 19, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 4, train_mae: 11.054020100502512, val_mae: 33.27142857142857
Model: 19, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 4, train_mae: 20.12562814070352, val_mae: 51.792857142857144
Model: 19, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 4, train_mae: 11.321608040201005, val_mae: 46.90714285714286
Model: 20, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 5, train_mae: 17.15954773869347, val_mae: 20.114285714285714
Model: 20, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 5, train_mae: 16.810301507537687, val_mae: 8.8
Model: 20, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 5, train_mae: 14.556532663316583, val_mae: 12.814285714285715
Model: 20, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 5, train_mae: 13.842964824120603, val_mae: 32.82857142857143
Model: 20, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 5, train_mae: 17.902010050251256, val_mae: 56.01428571428571
Model: 20, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 5, train_mae: 13.657035175879397, val_mae: 55.371428571428574
Model: 21, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 7, train_mae: 16.873115577889447, val_mae: 21.435714285714287
Model: 21, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 7, train_mae: 17.002512562814072, val_mae: 6.921428571428572
Model: 21, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 7, train_mae: 16.973618090452263, val_mae: 12.142857142857142
Model: 21, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 7, train_mae: 12.307788944723619, val_mae: 32.371428571428574
Model: 21, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 7, train_mae: 17.242462311557787, val_mae: 62.95
Model: 21, iterations: 500, learning_rate: 0.1, depth: 4, l2_leaf_reg: 7, train_mae: 12.670854271356784, val_mae: 59.49285714285714
Model: 22, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 4, train_mae: 10.683417085427136, val_mae: 32.042857142857144
Model: 22, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 4, train_mae: 12.825376884422111, val_mae: 12.771428571428572
Model: 22, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 4, train_mae: 10.824120603015075, val_mae: 12.378571428571428
Model: 22, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 4, train_mae: 7.189698492462312, val_mae: 33.364285714285714
Model: 22, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 4, train_mae: 14.659547738693467, val_mae: 42.55714285714286
Model: 22, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 4, train_mae: 7.157035175879397, val_mae: 59.7
Model: 23, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 5, train_mae: 10.959798994974875, val_mae: 19.935714285714287
Model: 23, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 5, train_mae: 13.25502512562814, val_mae: 9.814285714285715
Model: 23, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 5, train_mae: 13.146984924623116, val_mae: 12.721428571428572
Model: 23, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 5, train_mae: 7.855527638190955, val_mae: 31.935714285714287
Model: 23, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 5, train_mae: 12.331658291457286, val_mae: 44.121428571428574
Model: 23, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 5, train_mae: 8.032663316582914, val_mae: 58.48571428571429
Model: 24, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 7, train_mae: 11.736180904522612, val_mae: 19.892857142857142
Model: 24, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 7, train_mae: 14.172110552763819, val_mae: 8.064285714285715
Model: 24, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 7, train_mae: 12.386934673366834, val_mae: 11.392857142857142
Model: 24, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 7, train_mae: 8.193467336683417, val_mae: 32.25714285714286
Model: 24, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 7, train_mae: 16.193467336683415, val_mae: 45.607142857142854
Model: 24, iterations: 500, learning_rate: 0.1, depth: 7, l2_leaf_reg: 7, train_mae: 8.360552763819095, val_mae: 53.15714285714286
Model: 25, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 4, train_mae: 10.368090452261306, val_mae: 20.535714285714285
Model: 25, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 4, train_mae: 9.807788944723619, val_mae: 11.007142857142858
Model: 25, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 4, train_mae: 8.506281407035177, val_mae: 14.3
Model: 25, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 4, train_mae: 8.640703517587939, val_mae: 35.214285714285715
Model: 25, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 4, train_mae: 12.228643216080402, val_mae: 41.50714285714286
Model: 25, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 4, train_mae: 7.538944723618091, val_mae: 54.74285714285714
Model: 26, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 5, train_mae: 8.484924623115578, val_mae: 19.564285714285713
Model: 26, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 5, train_mae: 10.518844221105528, val_mae: 9.257142857142858
Model: 26, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 5, train_mae: 11.626884422110553, val_mae: 11.592857142857143
Model: 26, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 5, train_mae: 8.849246231155778, val_mae: 34.01428571428571
Model: 26, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 5, train_mae: 11.827889447236181, val_mae: 43.27857142857143
Model: 26, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 5, train_mae: 6.795226130653266, val_mae: 60.97857142857143
Model: 27, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 7, train_mae: 10.845477386934673, val_mae: 19.635714285714286
Model: 27, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 7, train_mae: 13.630653266331658, val_mae: 10.735714285714286
Model: 27, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 7, train_mae: 12.413316582914574, val_mae: 10.878571428571428
Model: 27, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 7, train_mae: 7.561557788944723, val_mae: 35.58571428571429
Model: 27, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 7, train_mae: 12.842964824120603, val_mae: 42.35
Model: 27, iterations: 500, learning_rate: 0.1, depth: 9, l2_leaf_reg: 7, train_mae: 6.562814070351759, val_mae: 59.957142857142856
Model: 28, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 20.15452261306533, val_mae: 17.185714285714287
Model: 28, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 21.253768844221106, val_mae: 8.092857142857143
Model: 28, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 20.728643216080403, val_mae: 12.55
Model: 28, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 18.040201005025125, val_mae: 33.41428571428571
Model: 28, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 19.384422110552762, val_mae: 56.4
Model: 28, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 17.487437185929647, val_mae: 35.09285714285714
Model: 29, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 5, train_mae: 20.258793969849247, val_mae: 17.12142857142857
Model: 29, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 5, train_mae: 20.680904522613066, val_mae: 8.007142857142858
Model: 29, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 5, train_mae: 20.376884422110553, val_mae: 12.642857142857142
Model: 29, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 5, train_mae: 18.048994974874372, val_mae: 34.1
Model: 29, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 5, train_mae: 19.896984924623116, val_mae: 60.52857142857143
Model: 29, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 5, train_mae: 17.675879396984925, val_mae: 35.17857142857143
Model: 30, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 7, train_mae: 19.551507537688444, val_mae: 17.09285714285714
Model: 30, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 7, train_mae: 20.771356783919597, val_mae: 8.092857142857143
Model: 30, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 7, train_mae: 19.537688442211056, val_mae: 12.642857142857142
Model: 30, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 7, train_mae: 17.979899497487438, val_mae: 33.464285714285715
Model: 30, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 7, train_mae: 20.484924623115578, val_mae: 56.892857142857146
Model: 30, iterations: 1000, learning_rate: 0.01, depth: 4, l2_leaf_reg: 7, train_mae: 17.943467336683415, val_mae: 35.3
Model: 31, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 4, train_mae: 18.07286432160804, val_mae: 17.678571428571427
Model: 31, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 4, train_mae: 19.565326633165828, val_mae: 8.564285714285715
Model: 31, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 4, train_mae: 19.263819095477388, val_mae: 11.842857142857143
Model: 31, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 4, train_mae: 16.96356783919598, val_mae: 33.635714285714286
Model: 31, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 4, train_mae: 17.065326633165828, val_mae: 41.05
Model: 31, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 4, train_mae: 15.989949748743719, val_mae: 37.9
Model: 32, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 5, train_mae: 18.41331658291457, val_mae: 17.77857142857143
Model: 32, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 5, train_mae: 19.675879396984925, val_mae: 8.585714285714285
Model: 32, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 5, train_mae: 18.526381909547737, val_mae: 12.378571428571428
Model: 32, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 5, train_mae: 16.724874371859297, val_mae: 33.50714285714286
Model: 32, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 5, train_mae: 17.184673366834172, val_mae: 36.628571428571426
Model: 32, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 5, train_mae: 16.61934673366834, val_mae: 35.0
Model: 33, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 7, train_mae: 18.285175879396984, val_mae: 18.071428571428573
Model: 33, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 7, train_mae: 19.402010050251256, val_mae: 8.442857142857143
Model: 33, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 7, train_mae: 17.67211055276382, val_mae: 12.685714285714285
Model: 33, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 7, train_mae: 16.64070351758794, val_mae: 33.09285714285714
Model: 33, iterations: 1000, learning_rate: 0.01, depth: 7, l2_leaf_reg: 7, train_mae: 17.326633165829147, val_mae: 37.17142857142857
